id,Country,enrollment,Time
ABW,Aruba,2564.0,2022-01-01
AFG,Afghanistan,0.0,2020-01-01
AGO,Angola,799202.0,2022-01-01
AIA,Anguilla,275.0,2022-01-01
ALB,Albania,72384.0,2022-01-01
AND,Andorra,1896.0,2022-01-01
ARE,United Arab Emirates,153634.0,2023-01-01
ARG,Argentina,1610554.0,2022-01-01
ARM,Armenia,53611.0,2022-01-01
ATG,Antigua and Barbuda,9943.0,2019-01-01
AUS,Australia,588248.0,2022-01-01
AUT,Austria,272225.0,2022-01-01
AZE,Azerbaijan,222726.0,2022-01-01
BDI,Burundi,52321.0,2023-01-01
BEL,Belgium,432236.0,2022-01-01
BEN,Benin,170241.0,2022-01-01
BFA,Burkina Faso,138668.0,2022-01-01
BGD,Bangladesh,3383726.0,2022-01-01
BGR,Bulgaria,214847.0,2022-01-01
BHR,Bahrain,28256.0,2022-01-01
BHS,Bahamas,1806.0,2023-01-01
BIH,Bosnia and Herzegovina,25401.0,2022-01-01
BLR,Belarus,334703.0,2022-01-01
BLZ,Belize,5426.0,2022-01-01
BMU,Bermuda,310.0,2022-01-01
BOL,Bolivia (Plurinational State of),351531.0,2022-01-01
BRA,Brazil,5093075.0,2022-01-01
BRB,Barbados,4351.0,2022-01-01
BRN,Brunei Darussalam,10282.0,2022-01-01
BTN,Bhutan,11247.0,2022-01-01
BWA,Botswana,41539.0,2022-01-01
CAF,Central African Republic,12489.0,2017-01-01
CAN,Canada,558510.0,2022-01-01
CHE,Switzerland,182157.0,2022-01-01
CHL,Chile,582464.0,2022-01-01
CHN,China,48057327.0,2022-01-01
CIV,Côte d'Ivoire,257633.0,2022-01-01
CMR,Cameroon,596197.0,2022-01-01
COD,Democratic Republic of the Congo,0.0,2023-01-01
COG,Congo,54304.0,2023-01-01
COK,Cook Islands,412.0,2022-01-01
COL,Colombia,1900866.0,2022-01-01
COM,Comoros,11767.0,2023-01-01
CPV,Cabo Verde,0.0,2023-01-01
CRI,Costa Rica,133066.0,2022-01-01
CUB,Cuba,359693.0,2022-01-01
CUW,Curaçao,13624.0,2022-01-01
CYM,Cayman Islands,1348.0,2022-01-01
CYP,Cyprus,25676.0,2022-01-01
CZE,Czechia,365982.0,2022-01-01
DEU,Germany,2580218.0,2022-01-01
DJI,Djibouti,5487.0,2022-01-01
DMA,Dominica,1285.0,2022-01-01
DNK,Denmark,183076.0,2022-01-01
DOM,Dominican Republic,281274.0,2022-01-01
DZA,Algeria,550634.0,2022-01-01
ECU,Ecuador,617602.0,2022-01-01
EGY,Egypt,1170516.0,2022-01-01
ERI,Eritrea,55627.0,2022-01-01
ESP,Spain,1192263.0,2022-01-01
EST,Estonia,15386.666,2022-01-01
ETH,Ethiopia,3547764.0,2022-01-01
FIN,Finland,189808.0,2022-01-01
FJI,Fiji,17221.0,2022-01-01
FRA,France,2382406.0,2022-01-01
FSM,Micronesia (Federated States of),1692.0,2022-01-01
GAB,Gabon,145657.0,2021-01-01
GBR,United Kingdom of Great Britain and Northern Ireland,1636250.13777,2022-01-01
GEO,Georgia,154501.0,2022-01-01
GHA,Ghana,1962064.0,2022-01-01
GIB,Gibraltar,866.0,2022-01-01
GIN,Guinea,41826.0,2023-01-01
GMB,Gambia,130952.0,2022-01-01
GNQ,Equatorial Guinea,60253.0,2019-01-01
GRC,Greece,178203.0,2022-01-01
GRD,Grenada,3485.0,2022-01-01
GTM,Guatemala,670152.0,2022-01-01
GUY,Guyana,20432.0,2023-01-01
HKG,"China, Hong Kong Special Administrative Region",158014.0,2022-01-01
HND,Honduras,206634.0,2022-01-01
HRV,Croatia,111728.0,2022-01-01
HUN,Hungary,309976.0,2022-01-01
IDN,Indonesia,4590532.0,2022-01-01
IND,India,27630741.0,2022-01-01
IRL,Ireland,102720.0,2022-01-01
IRN,Iran (Islamic Republic of),0.0,2023-01-01
IRQ,Iraq,0.0,2020-01-01
ISL,Iceland,12395.0,2022-01-01
ISR,Israel,576882.0,2022-01-01
ITA,Italy,1319456.0,2022-01-01
JAM,Jamaica,83356.0,2022-01-01
JOR,Jordan,140928.0,2022-01-01
JPN,Japan,2779185.0,2022-01-01
KAZ,Kazakhstan,867592.0,2022-01-01
KEN,Kenya,0.0,2022-01-01
KGZ,Kyrgyzstan,255489.0,2022-01-01
KHM,Cambodia,258265.0,2022-01-01
KIR,Kiribati,18522.0,2022-01-01
KNA,Saint Kitts and Nevis,2353.0,2021-01-01
KOR,Republic of Korea,1005862.0,2022-01-01
KWT,Kuwait,622.0,2021-01-01
LAO,Lao People's Democratic Republic,210033.0,2022-01-01
LBN,Lebanon,204079.0,2022-01-01
LBR,Liberia,123876.0,2022-01-01
LBY,Libya,0.0,2019-01-01
LCA,Saint Lucia,2235.0,2022-01-01
LIE,Liechtenstein,587.0,2021-01-01
LKA,Sri Lanka,431678.0,2022-01-01
LSO,Lesotho,46622.0,2022-01-01
LTU,Lithuania,108815.0,2022-01-01
LUX,Luxembourg,18850.0,2022-01-01
LVA,Latvia,81578.0,2022-01-01
MAC,"China, Macao Special Administrative Region",18109.0,2022-01-01
MAR,Morocco,862551.0,2022-01-01
MCO,Monaco,987.0,2022-01-01
MDA,Republic of Moldova,123476.0,2022-01-01
MDG,Madagascar,959031.0,2022-01-01
MDV,Maldives,20574.0,2022-01-01
MEX,Mexico,4160975.0,2022-01-01
MHL,Marshall Islands,951.0,2022-01-01
MKD,North Macedonia,27721.0,2022-01-01
MLI,Mali,284127.0,2023-01-01
MLT,Malta,9344.0,2022-01-01
MMR,Myanmar,13841.0,2018-01-01
MNE,Montenegro,16731.0,2022-01-01
MNG,Mongolia,237183.0,2022-01-01
MOZ,Mozambique,7656055.0,2022-01-01
MRT,Mauritania,106378.0,2023-01-01
MSR,Montserrat,365.0,2022-01-01
MUS,Mauritius,23776.0,2022-01-01
MWI,Malawi,4287328.0,2022-01-01
MYS,Malaysia,898972.0,2022-01-01
NAM,Namibia,50403.0,2022-01-01
NER,Niger,182415.0,2022-01-01
NGA,Nigeria,0.0,2023-01-01
NIC,Nicaragua,254104.0,2022-01-01
NIU,Niue,33.0,2022-01-01
NLD,Netherlands,480025.0,2022-01-01
NOR,Norway,170810.0,2022-01-01
NPL,Nepal,1010195.0,2022-01-01
NRU,Nauru,1896.0,2022-01-01
NZL,New Zealand,101187.0,2022-01-01
OMN,Oman,83766.0,2022-01-01
PAK,Pakistan,8554132.0,2022-01-01
PAN,Panama,102953.0,2022-01-01
PER,Peru,1637461.0,2022-01-01
PHL,Philippines,2179892.0,2022-01-01
PLW,Palau,563.0,2022-01-01
PNG,Papua New Guinea,385983.0,2018-01-01
POL,Poland,1472572.0,2022-01-01
PRI,Puerto Rico,4089.0,2023-01-01
PRK,Democratic People's Republic of Korea,1507780.0,2018-01-01
PRT,Portugal,259030.0,2022-01-01
PRY,Paraguay,217484.0,2022-01-01
PSE,Palestine,160737.0,2022-01-01
QAT,Qatar,46532.0,2022-01-01
ROU,Romania,517898.0,2022-01-01
RUS,Russian Federation,1375624.0,2023-01-01
RWA,Rwanda,355325.0,2022-01-01
SAU,Saudi Arabia,486157.0,2022-01-01
SDN,Sudan,0.0,2018-01-01
SEN,Senegal,280586.0,2022-01-01
SGP,Singapore,106757.0,2022-01-01
SLB,Solomon Islands,0.0,2023-01-01
SLE,Sierra Leone,170518.0,2022-01-01
SLV,El Salvador,196574.0,2022-01-01
SMR,San Marino,738.0,2022-01-01
SOM,Somalia,18154.0,2022-01-01
SRB,Serbia,169578.0,2022-01-01
SSD,South Sudan,0.0,2023-01-01
STP,Sao Tome and Principe,0.0,2023-01-01
SUR,Suriname,2151.0,2022-01-01
SVK,Slovakia,179253.0,2022-01-01
SVN,Slovenia,59244.0,2022-01-01
SWE,Sweden,470842.0,2022-01-01
SWZ,Eswatini,0.0,2023-01-01
SXM,Sint Maarten (Dutch part),177.0,2022-01-01
SYC,Seychelles,3325.0,2022-01-01
SYR,Syrian Arab Republic,133677.0,2022-01-01
TCA,Turks and Caicos Islands,1168.0,2022-01-01
TCD,Chad,31446.0,2022-01-01
TGO,Togo,228223.0,2022-01-01
THA,Thailand,1625720.0,2022-01-01
TJK,Tajikistan,102525.0,2022-01-01
TKL,Tokelau,9.0,2023-01-01
TKM,Turkmenistan,155106.0,2022-01-01
TLS,Timor-Leste,222582.0,2022-01-01
TON,Tonga,2586.0,2022-01-01
TTO,Trinidad and Tobago,25483.0,2022-01-01
TUN,Tunisia,1321163.0,2022-01-01
TUR,Türkiye,1859805.0,2022-01-01
TUV,Tuvalu,719.0,2022-01-01
TZA,United Republic of Tanzania,1543843.0,2022-01-01
UGA,Uganda,0.0,2023-01-01
UKR,Ukraine,1695406.0,2022-01-01
URY,Uruguay,122386.0,2022-01-01
USA,United States of America,8297381.31182,2022-01-01
UZB,Uzbekistan,1321358.0,2022-01-01
VCT,Saint Vincent and the Grenadines,2773.0,2022-01-01
VEN,Venezuela (Bolivarian Republic of),0.0,2023-01-01
VGB,British Virgin Islands,432.0,2022-01-01
VNM,Viet Nam,3863032.0,2022-01-01
VUT,Vanuatu,15075.0,2022-01-01
WSM,Samoa,4560.0,2022-01-01
ZAF,South Africa,792383.0,2022-01-01
ZMB,Zambia,123689.0,2020-01-01
ZWE,Zimbabwe,654979.0,2022-01-01
